"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 10 20:05:16 UTC 2025","Thu Apr 10 20:05:16 UTC 2025","70","tests.contract.group","test_contract_get_by_id","TestContractgetByID","","","test_not_found_status_code",""
"passed","Thu Apr 10 20:05:17 UTC 2025","Thu Apr 10 20:05:17 UTC 2025","105","tests.contract.group","test_contract_get_by_id","TestContractgetByID","","","test_search_success_status_code",""
"passed","Thu Apr 10 20:05:40 UTC 2025","Thu Apr 10 20:05:41 UTC 2025","760","tests.e2e","test_grades","TestGrades","","","test_grades_stats_by_teacher_count",""
"passed","Thu Apr 10 20:05:30 UTC 2025","Thu Apr 10 20:05:30 UTC 2025","663","tests.e2e","test_grades","TestGrades","","","test_grades_stats_general_count",""
"passed","Thu Apr 10 20:05:18 UTC 2025","Thu Apr 10 20:05:19 UTC 2025","435","tests.contract.group","test_contract_get_by_id","TestContractgetByID","","","test_search_success_response_id",""
"passed","Thu Apr 10 20:05:25 UTC 2025","Thu Apr 10 20:05:26 UTC 2025","664","tests.e2e","test_grades","TestGrades","","","test_grades_list_teacher_id",""
"passed","Thu Apr 10 20:05:43 UTC 2025","Thu Apr 10 20:05:44 UTC 2025","760","tests.e2e","test_grades","TestGrades","","","test_grades_stats_by_teacher_min",""
"passed","Thu Apr 10 20:05:15 UTC 2025","Thu Apr 10 20:05:15 UTC 2025","45","tests.contract.group","test_contract_get_by_id","TestContractgetByID","","","test_access_denied_response",""
"passed","Thu Apr 10 20:05:27 UTC 2025","Thu Apr 10 20:05:28 UTC 2025","665","tests.e2e","test_grades","TestGrades","","","test_grades_list_grade",""
"passed","Thu Apr 10 20:05:49 UTC 2025","Thu Apr 10 20:05:50 UTC 2025","759","tests.e2e","test_grades","TestGrades","","","test_grades_stats_by_teacher_avg",""
"passed","Thu Apr 10 20:05:37 UTC 2025","Thu Apr 10 20:05:38 UTC 2025","658","tests.e2e","test_grades","TestGrades","","","test_grades_stats_general_avg",""
"passed","Thu Apr 10 20:05:46 UTC 2025","Thu Apr 10 20:05:47 UTC 2025","756","tests.e2e","test_grades","TestGrades","","","test_grades_stats_by_teacher_max",""
"passed","Thu Apr 10 20:05:23 UTC 2025","Thu Apr 10 20:05:24 UTC 2025","662","tests.e2e","test_grades","TestGrades","","","test_grades_list_student_id",""
"passed","Thu Apr 10 20:05:20 UTC 2025","Thu Apr 10 20:05:20 UTC 2025","276","tests.contract.group","test_contract_get_by_id","TestContractgetByID","","","test_search_success_response_name",""
"passed","Thu Apr 10 20:05:15 UTC 2025","Thu Apr 10 20:05:15 UTC 2025","52","tests.contract.group","test_contract_get_by_id","TestContractgetByID","","","test_not_autorized_status_code",""
"passed","Thu Apr 10 20:05:21 UTC 2025","Thu Apr 10 20:05:22 UTC 2025","685","tests.e2e","test_grades","TestGrades","","","test_grades_list_len",""
"passed","Thu Apr 10 20:05:32 UTC 2025","Thu Apr 10 20:05:33 UTC 2025","663","tests.e2e","test_grades","TestGrades","","","test_grades_stats_general_min",""
"passed","Thu Apr 10 20:05:15 UTC 2025","Thu Apr 10 20:05:15 UTC 2025","49","tests.contract.group","test_contract_get_by_id","TestContractgetByID","","","test_access_denied_status_code",""
"passed","Thu Apr 10 20:05:15 UTC 2025","Thu Apr 10 20:05:15 UTC 2025","46","tests.contract.group","test_contract_get_by_id","TestContractgetByID","","","test_not_autorized_response",""
"passed","Thu Apr 10 20:05:35 UTC 2025","Thu Apr 10 20:05:35 UTC 2025","659","tests.e2e","test_grades","TestGrades","","","test_grades_stats_general_max",""
"passed","Thu Apr 10 20:05:16 UTC 2025","Thu Apr 10 20:05:16 UTC 2025","51","tests.contract.group","test_contract_get_by_id","TestContractgetByID","","","test_not_found_response",""
